loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,issue_d,loan_status,purpose,addr_state,dti
12000, 60 months,14.65,C,5 years,MORTGAGE,70000.0,Oct-2015,Fully Paid,debt_consolidation,CA,19.39
16000, 60 months,13.99,C,5 years,MORTGAGE,63000.0,Mar-2015,Charged Off,debt_consolidation,AR,29.3
10000, 36 months,8.24,B,10+ years,MORTGAGE,72000.0,May-2017,Fully Paid,home_improvement,UT,3.69
1550, 36 months,13.67,C,7 years,MORTGAGE,42000.0,Nov-2015,Fully Paid,other,MS,24.26
5000, 36 months,11.49,B,< 1 year,MORTGAGE,75500.0,Nov-2016,Fully Paid,debt_consolidation,CA,26.64
15000, 36 months,10.99,B,,MORTGAGE,60000.0,Jan-2014,Charged Off,credit_card,PA,23.76
35000, 36 months,5.32,A,4 years,MORTGAGE,147000.0,Jan-2017,Fully Paid,credit_card,MA,6.5
8000, 36 months,10.42,B,10+ years,RENT,48000.0,Sep-2017,Fully Paid,debt_consolidation,CA,8.55
18000, 36 months,16.29,D,7 years,MORTGAGE,50000.0,Aug-2014,Fully Paid,debt_consolidation,AZ,30.51
6000, 36 months,7.97,A,10+ years,MORTGAGE,55000.0,Nov-2017,Fully Paid,credit_card,CO,8.97
15000, 36 months,14.65,C,3 years,RENT,32000.0,Apr-2012,Charged Off,debt_consolidation,MD,10.35
12000, 60 months,14.46,C,2 years,MORTGAGE,50000.0,May-2016,Charged Off,debt_consolidation,KY,8.04
9100, 36 months,23.13,F,5 years,RENT,55000.0,Feb-2016,Fully Paid,debt_consolidation,NY,19.55
12000, 36 months,10.99,B,10+ years,MORTGAGE,75000.0,Mar-2014,Fully Paid,debt_consolidation,CA,20.86
11500, 36 months,13.99,C,10+ years,MORTGAGE,81000.0,Jul-2015,Fully Paid,credit_card,WA,16.84
10000, 60 months,13.98,C,2 years,RENT,70000.0,Jul-2014,Fully Paid,other,NJ,24.97
4000, 36 months,11.22,B,< 1 year,OWN,20000.0,Dec-2015,Fully Paid,debt_consolidation,GA,7.26
6000, 36 months,15.96,C,5 years,RENT,48996.0,Oct-2011,Charged Off,other,TX,17.59
16000, 60 months,26.77,E,10+ years,RENT,65000.0,Jun-2018,Charged Off,other,CA,5.39
12000, 60 months,9.99,B,7 years,RENT,104000.0,Jul-2015,Charged Off,debt_consolidation,CA,7.73
25000, 36 months,14.65,C,3 years,MORTGAGE,71000.0,Oct-2015,Charged Off,debt_consolidation,MS,24.61
12000, 36 months,12.69,C,2 years,MORTGAGE,65000.0,Aug-2015,Fully Paid,debt_consolidation,CA,21.41
7800, 36 months,13.33,C,10+ years,RENT,47300.0,Mar-2015,Fully Paid,debt_consolidation,MI,13.42
12000, 60 months,16.55,D,3 years,RENT,66000.0,Jun-2015,Fully Paid,credit_card,IL,15.4
12000, 60 months,21.49,D,10+ years,RENT,177000.0,Sep-2016,Charged Off,debt_consolidation,SC,13.66
20000, 36 months,6.72,A,10+ years,MORTGAGE,200000.0,Nov-2017,Fully Paid,debt_consolidation,CA,4.75
35000, 36 months,13.49,C,10+ years,MORTGAGE,92000.0,Oct-2016,Fully Paid,debt_consolidation,NJ,7.89
32000, 60 months,18.99,D,2 years,MORTGAGE,90000.0,Aug-2016,Charged Off,debt_consolidation,TX,23.43
12000, 36 months,12.99,B,< 1 year,MORTGAGE,75000.0,Nov-2013,Charged Off,debt_consolidation,TX,23.1
7800, 36 months,19.53,D,6 years,OWN,85000.0,Apr-2016,Charged Off,debt_consolidation,IN,29.65
5000, 36 months,9.16,B,10+ years,MORTGAGE,100000.0,Feb-2016,Charged Off,car,LA,17.57
20000, 36 months,15.99,C,3 years,MORTGAGE,50000.0,Mar-2017,Charged Off,debt_consolidation,OH,20.6
16700, 60 months,22.99,F,7 years,MORTGAGE,68000.0,Mar-2015,Fully Paid,debt_consolidation,TX,21.92
20000, 60 months,16.59,D,8 years,MORTGAGE,96928.0,Feb-2014,Fully Paid,home_improvement,GA,1.99
35000, 36 months,17.99,D,3 years,MORTGAGE,850000.0,Sep-2016,Charged Off,debt_consolidation,DE,6.89
30000, 36 months,6.99,A,9 years,RENT,112000.0,Jan-2016,Fully Paid,debt_consolidation,NY,18.43
35000, 36 months,7.89,A,6 years,MORTGAGE,360000.0,Nov-2015,Charged Off,debt_consolidation,TX,8.67
25000, 60 months,18.54,E,2 years,MORTGAGE,90000.0,Nov-2014,Fully Paid,home_improvement,NV,18.93
16350, 60 months,25.49,E,6 years,RENT,55000.0,Oct-2016,Charged Off,debt_consolidation,OR,11.63
24000, 60 months,16.24,C,< 1 year,MORTGAGE,127000.0,Dec-2013,Fully Paid,other,CA,12.15
25325, 60 months,15.99,C,3 years,MORTGAGE,78000.0,Feb-2017,Charged Off,debt_consolidation,WY,27.05
24000, 36 months,6.97,A,< 1 year,MORTGAGE,135000.0,Mar-2016,Charged Off,debt_consolidation,VA,14.44
8000, 36 months,13.99,C,1 year,RENT,40000.0,May-2017,Fully Paid,debt_consolidation,SC,18.36
12000, 36 months,7.89,A,< 1 year,RENT,60000.0,Oct-2015,Fully Paid,debt_consolidation,CA,4.28
5500, 36 months,14.09,B,9 years,RENT,20000.0,Apr-2013,Fully Paid,debt_consolidation,CA,27.62
5725, 36 months,14.65,C,10+ years,RENT,65500.0,Mar-2015,Fully Paid,credit_card,TN,9.44
10000, 36 months,10.49,B,10+ years,RENT,84096.0,Jan-2015,Fully Paid,debt_consolidation,DE,9.92
35000, 60 months,10.78,B,10+ years,OWN,118000.0,Dec-2015,Fully Paid,credit_card,CO,20.47
24000, 36 months,13.99,C,9 years,MORTGAGE,90000.0,May-2015,Fully Paid,debt_consolidation,WI,23.39
4200, 36 months,12.69,C,9 years,MORTGAGE,90000.0,Jul-2015,Fully Paid,debt_consolidation,MI,13.73
12000, 36 months,11.99,B,3 years,MORTGAGE,75000.0,Dec-2013,Fully Paid,debt_consolidation,NY,14.42
33000, 60 months,19.52,E,10+ years,MORTGAGE,90000.0,Jun-2014,Fully Paid,home_improvement,WV,24.75
36000, 60 months,8.24,B,,OWN,100000.0,Dec-2016,Charged Off,debt_consolidation,NV,12.22
13000, 36 months,9.44,B,< 1 year,MORTGAGE,130000.0,Jul-2017,Fully Paid,debt_consolidation,IN,6.52
12800, 60 months,20.75,E,4 years,RENT,48000.0,Apr-2016,Charged Off,other,IN,37.4
12500, 36 months,11.89,B,10+ years,MORTGAGE,72000.0,May-2009,Fully Paid,credit_card,TX,0.25
15000, 36 months,10.99,B,7 years,MORTGAGE,52000.0,Aug-2014,Charged Off,debt_consolidation,CA,18.01
5000, 36 months,10.99,B,8 years,MORTGAGE,69000.0,Mar-2014,Fully Paid,debt_consolidation,PA,27.2
4000, 36 months,13.99,C,7 years,RENT,30000.0,Apr-2015,Fully Paid,debt_consolidation,FL,26.98
14000, 36 months,12.88,C,10+ years,MORTGAGE,130000.0,Jan-2016,Fully Paid,debt_consolidation,FL,22.67
20150, 36 months,13.99,C,4 years,RENT,60000.0,Jul-2015,Charged Off,credit_card,NC,17.08
13000, 36 months,12.79,C,4 years,RENT,35000.0,Jul-2016,Charged Off,debt_consolidation,NY,16.08
3500, 36 months,13.67,C,5 years,OWN,25000.0,Mar-2016,Charged Off,credit_card,UT,28.54
30000, 60 months,10.75,B,10+ years,MORTGAGE,97000.0,Feb-2016,Fully Paid,debt_consolidation,CA,12.48
26300, 60 months,16.99,D,< 1 year,MORTGAGE,72000.0,Jan-2014,Fully Paid,debt_consolidation,TX,24.0
2500, 36 months,10.0,B,1 year,RENT,36000.0,Feb-2011,Fully Paid,debt_consolidation,CA,17.4
8400, 36 months,5.32,A,10+ years,MORTGAGE,120000.0,Mar-2016,Fully Paid,other,WA,2.9
10000, 36 months,6.62,A,10+ years,MORTGAGE,65000.0,Nov-2013,Fully Paid,credit_card,TX,11.41
7500, 36 months,8.18,B,5 years,MORTGAGE,52000.0,Jul-2015,Fully Paid,credit_card,TX,22.25
5000, 36 months,12.99,C,7 years,RENT,34000.0,Mar-2016,Fully Paid,debt_consolidation,NV,15.53
12000, 36 months,8.24,B,< 1 year,MORTGAGE,75000.0,Apr-2017,Charged Off,credit_card,FL,18.09
7000, 36 months,17.99,D,10+ years,RENT,35000.0,Aug-2016,Fully Paid,debt_consolidation,AZ,25.1
5000, 60 months,24.08,F,2 years,RENT,41200.0,Sep-2013,Fully Paid,home_improvement,OH,3.2
15000, 60 months,13.59,C,5 years,RENT,45000.0,Sep-2017,Fully Paid,debt_consolidation,MA,33.87
3600, 36 months,12.49,B,4 years,RENT,36000.0,Mar-2014,Fully Paid,credit_card,NC,29.52
20000, 36 months,9.99,B,5 years,MORTGAGE,85000.0,Nov-2015,Charged Off,debt_consolidation,MI,11.48
20000, 36 months,13.53,B,3 years,MORTGAGE,98000.0,Feb-2014,Fully Paid,credit_card,TN,16.34
11200, 36 months,6.49,A,,MORTGAGE,93000.0,Apr-2016,Fully Paid,other,IL,10.37
32000, 36 months,18.25,D,,RENT,124569.0,Jan-2012,Fully Paid,debt_consolidation,LA,5.92
16500, 36 months,5.32,A,10+ years,RENT,46381.0,Apr-2016,Fully Paid,credit_card,FL,14.88
33250, 60 months,26.77,G,10+ years,MORTGAGE,85000.0,Jun-2015,Charged Off,debt_consolidation,TX,33.95
17550, 36 months,17.57,D,2 years,OWN,60000.0,Mar-2015,Fully Paid,debt_consolidation,CA,32.4
15000, 36 months,14.16,C,3 years,RENT,40000.0,Mar-2014,Charged Off,debt_consolidation,CA,34.65
20000, 60 months,15.59,D,3 years,OWN,80000.0,Dec-2014,Fully Paid,debt_consolidation,SC,19.64
5500, 36 months,7.07,A,10+ years,OWN,80000.0,Jul-2017,Fully Paid,debt_consolidation,TX,5.91
10500, 36 months,14.33,C,10+ years,MORTGAGE,30644.0,May-2013,Fully Paid,other,VA,26.35
29175, 60 months,11.99,B,1 year,MORTGAGE,93000.0,Sep-2011,Fully Paid,debt_consolidation,MI,20.44
7000, 36 months,9.76,B,< 1 year,RENT,37500.0,Apr-2012,Fully Paid,credit_card,DC,21.76
15000, 36 months,13.33,C,< 1 year,MORTGAGE,65000.0,Apr-2015,Fully Paid,debt_consolidation,NY,20.14
3000, 36 months,15.05,C,10+ years,MORTGAGE,50000.0,May-2017,Charged Off,major_purchase,MI,19.01
10000, 36 months,10.99,B,2 years,RENT,73000.0,Aug-2016,Fully Paid,debt_consolidation,MN,8.17
13575, 36 months,17.57,D,5 years,RENT,34000.0,Apr-2015,Fully Paid,credit_card,TX,37.1
15000, 36 months,6.03,A,3 years,RENT,55000.0,Oct-2014,Fully Paid,debt_consolidation,MD,24.04
40000, 36 months,7.49,A,10+ years,OWN,161200.0,Dec-2016,Fully Paid,home_improvement,NC,6.37
10000, 60 months,13.06,C,,MORTGAGE,95000.0,May-2018,Charged Off,debt_consolidation,TX,14.55
15000, 60 months,14.08,C,10+ years,RENT,48000.0,Aug-2017,Fully Paid,debt_consolidation,AZ,20.23
25000, 36 months,8.24,B,6 years,MORTGAGE,65000.0,Dec-2016,Fully Paid,credit_card,MN,20.61
25000, 60 months,18.99,D,6 years,RENT,60000.0,Aug-2016,Fully Paid,debt_consolidation,OH,7.96
3000, 36 months,11.39,B,10+ years,MORTGAGE,90000.0,May-2017,Fully Paid,credit_card,CA,7.77
15000, 36 months,10.16,B,1 year,MORTGAGE,75000.0,Jun-2013,Charged Off,credit_card,CO,20.99
15000, 36 months,7.89,A,9 years,MORTGAGE,100000.0,Mar-2016,Fully Paid,debt_consolidation,KY,17.6
9850, 36 months,30.99,G,10+ years,RENT,48000.0,Jan-2017,Fully Paid,debt_consolidation,IN,20.15
5400, 36 months,15.22,C,2 years,RENT,29000.0,Jul-2013,Charged Off,debt_consolidation,AZ,14.52
16800, 36 months,8.18,B,10+ years,MORTGAGE,115000.0,Aug-2015,Fully Paid,other,WI,15.12
4800, 36 months,13.99,C,1 year,RENT,12000.0,Jul-2015,Fully Paid,debt_consolidation,OH,24.5
21000, 36 months,7.9,A,3 years,RENT,78343.0,Dec-2013,Fully Paid,credit_card,NY,11.99
8000, 36 months,12.99,C,< 1 year,OWN,60000.0,Feb-2016,Fully Paid,debt_consolidation,FL,22.7
23050, 36 months,20.49,E,10+ years,MORTGAGE,67000.0,Apr-2015,Fully Paid,other,TN,27.85
9000, 36 months,12.12,B,5 years,MORTGAGE,250000.0,Oct-2012,Fully Paid,debt_consolidation,CT,7.62
6000, 36 months,11.49,B,3 years,RENT,45000.0,May-2017,Charged Off,credit_card,IL,9.89
20500, 36 months,7.89,A,2 years,MORTGAGE,74000.0,Aug-2015,Fully Paid,debt_consolidation,MD,17.49
9400, 36 months,9.17,B,,MORTGAGE,102000.0,May-2015,Fully Paid,debt_consolidation,NV,12.07
24000, 36 months,5.32,A,7 years,MORTGAGE,143000.0,Aug-2016,Fully Paid,credit_card,MT,17.42
3050, 36 months,17.99,D,,RENT,12000.0,Dec-2016,Fully Paid,debt_consolidation,IL,12.1
17000, 36 months,16.29,C,10+ years,MORTGAGE,44500.0,May-2013,Fully Paid,debt_consolidation,MO,22.36
20000, 36 months,17.14,D,3 years,RENT,72000.0,Nov-2014,Charged Off,debt_consolidation,NV,20.57
28000, 36 months,13.67,C,1 year,OWN,103000.0,Feb-2016,Fully Paid,debt_consolidation,PA,6.99
12000, 36 months,10.99,B,10+ years,RENT,80000.0,Sep-2015,Fully Paid,debt_consolidation,NJ,12.57
6000, 36 months,25.69,F,8 years,MORTGAGE,24500.0,Aug-2016,Fully Paid,other,GA,27.24
12175, 60 months,16.29,C,10+ years,OWN,35000.0,Mar-2013,Fully Paid,debt_consolidation,MN,23.59
11200, 60 months,17.97,D,10+ years,RENT,45000.0,Jan-2016,Charged Off,debt_consolidation,CA,34.64
11850, 60 months,25.88,F,10+ years,MORTGAGE,41000.0,Feb-2016,Charged Off,debt_consolidation,AZ,17.18
6000, 36 months,10.75,B,7 years,OWN,51996.0,Jun-2010,Fully Paid,other,FL,18.67
14400, 60 months,12.74,C,10+ years,OWN,165000.0,Mar-2017,Fully Paid,debt_consolidation,TX,14.72
17000, 60 months,9.99,B,4 years,OWN,46000.0,Sep-2015,Fully Paid,debt_consolidation,MN,31.04
1600, 36 months,7.12,A,1 year,RENT,60000.0,Oct-2014,Fully Paid,credit_card,MD,9.0
21000, 36 months,15.99,C,2 years,RENT,70000.0,Dec-2016,Fully Paid,debt_consolidation,TX,29.25
17000, 36 months,12.49,B,3 years,RENT,48000.0,Apr-2014,Fully Paid,debt_consolidation,CA,24.15
20000, 36 months,7.69,A,6 years,MORTGAGE,52000.0,Oct-2014,Fully Paid,credit_card,FL,7.02
10000, 36 months,16.02,C,7 years,MORTGAGE,62500.0,Aug-2017,Charged Off,credit_card,IL,16.21
6625, 36 months,14.33,C,10+ years,MORTGAGE,23414.0,Jul-2013,Fully Paid,debt_consolidation,OK,24.24
6000, 36 months,10.99,B,9 years,RENT,30000.0,Aug-2016,Fully Paid,other,IN,22.96
14000, 60 months,22.74,E,8 years,MORTGAGE,100000.0,Dec-2016,Fully Paid,debt_consolidation,MD,25.8
10000, 36 months,11.99,B,10+ years,RENT,49000.0,Jun-2017,Fully Paid,major_purchase,NY,2.82
10000, 36 months,7.89,A,,RENT,34520.0,Apr-2015,Charged Off,debt_consolidation,GA,16.13
23450, 36 months,9.44,B,10+ years,MORTGAGE,330000.0,Dec-2017,Fully Paid,debt_consolidation,NY,15.06
6800, 36 months,16.99,D,3 years,MORTGAGE,75000.0,Jun-2015,Fully Paid,credit_card,CT,25.26
19350, 36 months,17.27,D,,MORTGAGE,44000.0,Apr-2016,Charged Off,home_improvement,FL,1.8
25000, 60 months,9.92,B,5 years,MORTGAGE,110000.0,Apr-2018,Fully Paid,debt_consolidation,CT,9.45
10800, 60 months,15.22,C,9 years,MORTGAGE,52583.0,Aug-2013,Fully Paid,credit_card,NY,15.15
29175, 60 months,15.31,C,7 years,MORTGAGE,145000.0,Jun-2013,Fully Paid,credit_card,TN,15.91
8725, 36 months,22.35,E,3 years,RENT,70000.0,May-2016,Fully Paid,house,OH,18.89
12000, 36 months,7.9,A,9 years,RENT,34500.0,Nov-2013,Fully Paid,credit_card,CA,10.6
10800, 36 months,20.2,E,8 years,RENT,30000.0,Oct-2014,Fully Paid,debt_consolidation,HI,30.7
30000, 60 months,21.18,E,10+ years,MORTGAGE,114000.0,Mar-2016,Fully Paid,debt_consolidation,CA,10.0
15000, 36 months,11.36,B,10+ years,MORTGAGE,98132.0,Feb-2010,Fully Paid,other,FL,24.24
15000, 36 months,9.67,B,10+ years,MORTGAGE,100000.0,Mar-2014,Fully Paid,credit_card,VT,12.67
30000, 60 months,21.99,E,10+ years,MORTGAGE,95535.0,Mar-2014,Fully Paid,debt_consolidation,WA,18.91
10500, 60 months,30.99,G,< 1 year,RENT,36000.0,Mar-2017,Charged Off,debt_consolidation,LA,27.27
26350, 36 months,15.99,D,10+ years,MORTGAGE,75000.0,Jan-2015,Charged Off,debt_consolidation,CT,27.66
10000, 36 months,12.29,C,10+ years,MORTGAGE,85400.0,Oct-2015,Fully Paid,debt_consolidation,TX,8.73
32000, 60 months,12.99,C,10+ years,MORTGAGE,145000.0,Mar-2016,Charged Off,home_improvement,NJ,20.77
10000, 36 months,13.33,C,10+ years,RENT,35000.0,May-2015,Charged Off,debt_consolidation,CA,23.35
25000, 60 months,17.86,D,10+ years,MORTGAGE,78000.0,Nov-2014,Fully Paid,credit_card,OH,29.89
25000, 60 months,21.0,E,10+ years,MORTGAGE,168000.0,Jul-2012,Fully Paid,credit_card,IL,14.36
20000, 36 months,6.99,A,5 years,MORTGAGE,126000.0,Jan-2015,Fully Paid,debt_consolidation,NC,20.45
10500, 60 months,12.62,C,10+ years,MORTGAGE,92000.0,Dec-2017,Fully Paid,credit_card,NM,15.05
5400, 36 months,18.25,D,< 1 year,RENT,41860.0,May-2016,Charged Off,credit_card,CT,31.71
24000, 60 months,14.49,C,10+ years,MORTGAGE,116000.0,Sep-2014,Fully Paid,credit_card,SC,22.46
25000, 60 months,7.39,A,10+ years,RENT,77579.0,Mar-2016,Fully Paid,debt_consolidation,VA,14.67
18000, 36 months,6.99,A,2 years,MORTGAGE,67000.0,Oct-2016,Fully Paid,credit_card,CA,13.08
32000, 60 months,11.47,B,2 years,MORTGAGE,80500.0,Mar-2016,Fully Paid,debt_consolidation,MS,21.97
3600, 60 months,23.1,E,6 years,MORTGAGE,44469.0,Dec-2013,Fully Paid,debt_consolidation,VA,2.91
6675, 36 months,14.99,C,4 years,RENT,50000.0,Oct-2016,Fully Paid,debt_consolidation,FL,33.68
13350, 36 months,11.44,B,5 years,RENT,58000.0,Oct-2016,Fully Paid,debt_consolidation,AZ,25.04
20000, 36 months,10.99,B,10+ years,MORTGAGE,85000.0,Oct-2013,Fully Paid,debt_consolidation,TX,31.84
7675, 36 months,14.33,C,10+ years,MORTGAGE,42000.0,Apr-2013,Charged Off,debt_consolidation,CA,21.69
28000, 36 months,6.49,A,9 years,OWN,125000.0,Feb-2016,Charged Off,debt_consolidation,MN,25.68
12000, 36 months,7.89,A,10+ years,MORTGAGE,210000.0,Sep-2015,Fully Paid,debt_consolidation,CA,11.6
2350, 36 months,15.61,D,3 years,RENT,28000.0,Sep-2015,Fully Paid,debt_consolidation,CA,20.42
20000, 36 months,8.9,A,10+ years,MORTGAGE,110000.0,Apr-2014,Fully Paid,credit_card,KS,14.37
6000, 36 months,9.75,B,1 year,RENT,78000.0,Feb-2016,Fully Paid,credit_card,NY,26.63
17000, 36 months,12.69,C,5 years,RENT,100000.0,Sep-2015,Fully Paid,credit_card,GA,24.32
3000, 36 months,11.44,B,7 years,RENT,90000.0,Jan-2015,Fully Paid,debt_consolidation,NY,7.21
6000, 36 months,17.1,C,9 years,RENT,55000.0,Sep-2013,Charged Off,debt_consolidation,CA,5.41
10000, 36 months,10.91,B,3 years,RENT,70000.0,Sep-2017,Charged Off,debt_consolidation,FL,12.58
10000, 36 months,12.88,C,10+ years,RENT,30000.0,Jan-2016,Fully Paid,credit_card,VA,10.56
15600, 60 months,16.99,D,,MORTGAGE,38500.0,Jun-2014,Charged Off,home_improvement,SC,32.66
6400, 36 months,15.61,D,1 year,MORTGAGE,79000.0,Aug-2015,Fully Paid,debt_consolidation,GA,19.9
10800, 60 months,27.88,G,2 years,OWN,30000.0,Jun-2015,Charged Off,debt_consolidation,MD,12.84
10925, 36 months,16.99,D,4 years,RENT,95000.0,Aug-2015,Fully Paid,debt_consolidation,FL,11.67
25375, 60 months,17.57,D,10+ years,RENT,140000.0,Oct-2015,Fully Paid,major_purchase,NY,21.58
10000, 36 months,12.99,B,10+ years,RENT,65000.0,Oct-2013,Fully Paid,debt_consolidation,NY,7.18
14400, 60 months,19.52,D,,RENT,43000.0,Nov-2013,Fully Paid,credit_card,MI,28.86
20000, 36 months,11.53,B,9 years,RENT,160000.0,Mar-2015,Fully Paid,debt_consolidation,CA,16.07
6000, 36 months,13.99,C,< 1 year,RENT,50000.0,Nov-2016,Charged Off,medical,IL,4.85
5075, 36 months,15.31,C,,RENT,19546.8,Jul-2013,Fully Paid,debt_consolidation,OH,30.63
13000, 60 months,15.59,D,6 years,RENT,36000.0,Jan-2015,Charged Off,debt_consolidation,NY,28.7
14500, 60 months,25.57,F,10+ years,RENT,52000.0,Jan-2015,Charged Off,debt_consolidation,VA,23.98
10000, 36 months,6.24,A,9 years,MORTGAGE,44000.0,Aug-2015,Fully Paid,home_improvement,CA,7.22
24000, 36 months,8.18,B,10+ years,MORTGAGE,171000.0,Oct-2015,Fully Paid,credit_card,CA,18.73
15000, 36 months,8.9,A,7 years,RENT,60000.0,May-2013,Fully Paid,debt_consolidation,PA,10.8
17850, 60 months,13.68,C,< 1 year,RENT,51400.0,Aug-2013,Fully Paid,debt_consolidation,CO,25.7
16000, 36 months,10.15,B,10+ years,RENT,60000.0,Jun-2014,Fully Paid,debt_consolidation,NJ,15.8
11000, 60 months,16.29,D,10+ years,RENT,60000.0,Jun-2014,Fully Paid,other,UT,12.02
4150, 36 months,14.49,C,,MORTGAGE,25000.0,Aug-2016,Fully Paid,credit_card,ID,32.41
12000, 36 months,6.89,A,6 years,MORTGAGE,120000.0,Oct-2015,Fully Paid,debt_consolidation,NV,16.0
24000, 36 months,12.49,B,4 years,RENT,70000.0,Oct-2014,Fully Paid,debt_consolidation,CA,31.7
7000, 36 months,19.99,E,2 years,RENT,30000.0,Nov-2014,Fully Paid,small_business,OH,34.16
15000, 36 months,6.68,A,5 years,RENT,78000.0,Apr-2015,Fully Paid,credit_card,NC,3.95
2800, 36 months,7.26,A,< 1 year,RENT,49000.0,Nov-2015,Fully Paid,debt_consolidation,IL,26.11
12800, 36 months,11.48,B,7 years,RENT,60000.0,Jan-2016,Fully Paid,debt_consolidation,CO,18.42
16000, 36 months,10.99,B,9 years,MORTGAGE,83500.0,Aug-2014,Fully Paid,debt_consolidation,CT,17.02
11000, 36 months,15.99,C,8 years,RENT,40000.0,Feb-2017,Fully Paid,car,IL,19.41
15000, 36 months,15.31,C,,MORTGAGE,82000.0,May-2016,Fully Paid,home_improvement,FL,19.66
20000, 60 months,13.59,C,< 1 year,MORTGAGE,55000.0,Oct-2017,Fully Paid,other,TN,14.34
7000, 36 months,13.65,C,,MORTGAGE,83000.0,Apr-2014,Fully Paid,credit_card,IL,25.49
4000, 36 months,7.99,A,4 years,RENT,77000.0,Feb-2017,Fully Paid,debt_consolidation,MN,15.84
10000, 36 months,11.39,B,9 years,MORTGAGE,90000.0,Nov-2016,Fully Paid,debt_consolidation,TN,24.47
9000, 36 months,11.55,B,3 years,OWN,136000.0,Jul-2013,Fully Paid,debt_consolidation,MD,14.14
3600, 36 months,15.61,D,6 years,RENT,30000.0,Jul-2014,Fully Paid,debt_consolidation,MN,19.84
5000, 36 months,7.51,A,2 years,MORTGAGE,95000.0,Jul-2010,Fully Paid,moving,FL,20.84
35000, 36 months,17.77,D,2 years,RENT,95000.0,Feb-2013,Fully Paid,credit_card,CA,17.76
8500, 36 months,7.89,A,10+ years,RENT,90000.0,Oct-2015,Fully Paid,debt_consolidation,NJ,12.49
11000, 36 months,8.24,B,10+ years,MORTGAGE,50000.0,Mar-2017,Fully Paid,credit_card,NM,21.68
